sn,cor,rt
2,1.0,0.6125207438391409
2,0.0,0.3365175754945498
2,1.0,0.2699768145914835
2,1.0,0.28389778412873773
2,1.0,
2,1.0,0.49622708341321053
2,1.0,0.41275292724785384
2,1.0,0.34128479244812715
2,1.0,0.2554918129295493
2,1.0,0.417753826682289
2,1.0,0.2612850073735972
2,1.0,0.3718017090090068
2,1.0,0.13266426947763382
2,1.0,0.3610031916209406
2,1.0,0.25849221166229386
2,1.0,0.16611649337001283
2,0.0,0.17012648217121532
2,1.0,
2,1.0,0.3078561929892324
2,1.0,0.4561145318796549
2,1.0,0.36221755378028087
2,1.0,0.21775426680687596
2,1.0,0.14046472858382017
2,1.0,0.43297300402779204
2,1.0,0.2783775836653098
2,1.0,0.30436890602234334
2,1.0,0.22295582111699452
2,1.0,0.436393126399715
2,1.0,0.26508627709299876
2,1.0,0.29354625326289885
2,1.0,0.32256467840349806
2,0.0,0.0999353355215532
2,1.0,0.4128475124239426
2,1.0,0.16305320113766858
2,1.0,0.27576808129452274
2,1.0,0.35885894479711034
2,1.0,0.4308991402454338
2,1.0,0.35513273868072115
2,1.0,0.3323863704977089
2,1.0,0.8955242830384071
2,1.0,0.44204160260926617
2,1.0,0.5100465067873813
2,1.0,0.481027387832302
2,1.0,0.1448896123764784
2,1.0,0.20042677135683876
2,1.0,0.18899491498758003
2,1.0,0.1358242101315333
2,1.0,0.0825152307026785
2,1.0,0.045553310621966256
2,1.0,0.2508339031657181
2,1.0,0.20615010345731236
2,1.0,0.2960925638733425
2,1.0,0.24126001733960128
2,1.0,0.031594242000355814
2,1.0,
2,1.0,0.06987152676412024
2,1.0,2.4776230065795732
2,1.0,0.32181835302326023
2,0.0,0.24023363489437619
2,1.0,0.15127202006778645
2,1.0,0.008417903772564544
2,0.0,0.2604177188393648
2,1.0,0.407482970759735
2,1.0,0.20168992399451932
2,1.0,0.5936950294265622
2,1.0,0.43731230264046544
2,1.0,0.30511737409978656
2,1.0,0.03258132315065665
2,1.0,0.4626576647819751
2,1.0,0.2781751955562718
2,1.0,0.1734959581665449
2,1.0,0.5147009172794783
2,1.0,0.16867140361471977
2,1.0,0.6583471623571039
2,0.0,0.49433829054520406
2,1.0,0.4997437863797184
2,1.0,0.33433175598548137
2,1.0,0.5243480377530814
2,1.0,0.19940688165615195
2,1.0,0.1832899027085444
2,1.0,0.13952903516342602
2,1.0,0.3947695241001933
2,1.0,0.8192290403899073
2,1.0,0.5211792405888243
2,1.0,0.35068605180578033
2,1.0,0.32275659089543096
2,1.0,0.4950596017327531
2,1.0,
2,1.0,0.16968459269093505
2,1.0,0.5010324622205152
2,1.0,0.30577786930786843
2,1.0,0.4297012978350561
2,1.0,0.10866517399617003
2,1.0,0.31711316608510004
2,1.0,0.4230557384846594
2,1.0,0.4578452510922007
2,1.0,0.29321439064129645
2,1.0,0.36202791016681374
2,1.0,0.4152741744214284
2,1.0,0.2867480015039476
2,1.0,0.2546005645230306
2,1.0,0.22097724762311077
2,1.0,0.16099224961119818
2,1.0,0.316410752165459
2,1.0,0.3259511583750548
2,1.0,0.37323959115051625
2,1.0,0.47652681541131514
2,0.0,0.23859709205950397
2,0.0,0.285107550506375
2,1.0,0.16582189815281878
2,1.0,0.244476890207488
2,1.0,0.38685486406472924
2,1.0,0.34851843946229655
2,1.0,0.407533231854987
2,1.0,0.2252885900623658
2,1.0,0.2817816988682752
2,1.0,0.3248034714911496
2,1.0,0.02206011460645904
2,1.0,0.24333878003299608
2,1.0,0.13389179903654214
2,1.0,0.21938645034661383
2,1.0,0.2762877460389073
2,1.0,0.3552972843726194
2,1.0,0.004023099126407387
2,1.0,0.1658817227088259
2,1.0,0.20851966289184012
2,1.0,
2,1.0,1.449791668162731
2,1.0,0.3977411404258471
2,1.0,0.408277840586701
2,1.0,0.5324978786766208
2,1.0,0.5097310218303264
2,1.0,0.36236781686690606
2,1.0,0.30409764572555104
2,1.0,0.6819401598468168
2,1.0,0.4099351637909815
2,1.0,0.4628419979981859
2,1.0,0.29816175684331386
2,1.0,0.21759964518590325
2,1.0,0.3268785897068021
2,0.0,0.2184829660398328
2,1.0,0.6069970841302831
2,1.0,0.3506090856192422
2,1.0,0.22286745234591626
2,1.0,0.3373613275710036
2,1.0,0.22896406364269617
